Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
Cam Schlittler,23,"6' 6""",210,A+,NYY,4.0,11.2,55%,12.1%,3.18,357,17,17,86.2,60,7,25,38,108,0.59,2.60,1.13
Braxton Bragg,23,"6' 2""",207,A,BAL,2.2,11.3,42%,14.3%,2.99,361,22,18,86.0,80,9,33,21,108,1.21,3.45,1.17
Kenten Egbert,23,"6' 3""",205,A,CHC,3.3,9.7,25%,12.3%,3.42,350,21,14,85.2,65,8,32,31,92,1.42,3.36,1.12
Cade Smith,22,"6' 1""",190,A,NYY,4.2,11.7,39%,13.8%,2.87,354,19,17,85.2,59,5,33,40,111,1.17,3.47,1.16
Duncan Davitt,24,"6' 3""",235,A+,TB,2.4,8.9,47%,14.1%,3.41,343,16,16,85.2,66,8,28,23,85,1.38,2.94,1.04
Denny Larrondo,22,"6' 2""",180,A,AZ,6.5,10.1,31%,11.4%,4.62,388,21,21,85.1,72,7,36,62,96,1.39,3.80,1.57
Tommy Henry,27,"6' 3""",205,AAA,AZ,4.8,10.2,45%,11.7%,3.61,370,16,16,85.1,84,7,40,45,97,1.27,4.22,1.51
Austin Peterson,24,"6' 6""",234,A+,CLE,0.6,9.2,42%,12.8%,1.93,321,14,14,85.0,65,3,23,6,87,1.22,2.44,0.84
Jake Woodford,27,"6' 4""",215,AAA,PIT,2.3,8.4,-,-,4.17,356,17,17,85.0,83,12,38,22,79,1.01,4.02,1.24
Aldrin Batista,21,"6' 2""",185,A,CWS,3.5,9.3,43%,13.3%,3.83,356,17,17,84.2,73,8,33,33,87,0.94,3.51,1.25
